sym,普通鋼,電磁鋼板,ステンレス鋼,アルミニウム,銅,ガラス,電池,実装回路基板
Fe,0.999,0.86637,0.72,NA,NA,NA,0.053,0.011481
P,0.0005,0.002,NA,NA,NA,NA,NA,0.001441
S,0.0005,0.00005,NA,NA,NA,NA,NA,NA
Si,NA,0.05,NA,NA,NA,0.322,NA,0.056971
Al,NA,0.03,NA,0.99,NA,NA,0.052,0.023003
Mn,NA,0.05,NA,NA,NA,NA,0.00001,0.0000234
N,NA,0.0004,NA,NA,NA,NA,NA,NA
Mo,NA,0.00003,NA,NA,NA,NA,NA,0.0000088
Ti,NA,0.00003,NA,NA,NA,NA,NA,0.000712
Nb,NA,0.00005,NA,NA,NA,NA,NA,0.0000607
V,NA,0.00005,NA,NA,NA,NA,NA,0.0000007
Zr,NA,0.00002,NA,NA,NA,NA,NA,0.000298
Sb,NA,0.0005,NA,NA,NA,NA,NA,3.04E-05
Sn,NA,0.0005,NA,NA,NA,NA,NA,0.0322
Cr,NA,NA,0.18,NA,NA,NA,NA,0.001307
Ni,NA,NA,0.08,NA,NA,NA,0.007,0.015433
Cu,NA,NA,NA,NA,0.9999,NA,0.137,0.395
Na,NA,NA,NA,NA,NA,0.074193548,NA,0.000753
Ca,NA,NA,NA,NA,NA,0.035714286,NA,0.000762
Co,NA,NA,NA,NA,NA,NA,0.306,0.0000015
Li,NA,NA,NA,NA,NA,NA,0.041,NA
Ag,NA,NA,NA,NA,NA,NA,NA,0.002773
As,NA,NA,NA,NA,NA,NA,NA,0.000141
Au,NA,NA,NA,NA,NA,NA,NA,0.001083
B,NA,NA,NA,NA,NA,NA,NA,NA
Ba,NA,NA,NA,NA,NA,NA,NA,0.002662
Be,NA,NA,NA,NA,NA,NA,NA,0.000115
Bi,NA,NA,NA,NA,NA,NA,NA,0.0000606
Cd,NA,NA,NA,NA,NA,NA,NA,NA
Ga,NA,NA,NA,NA,NA,NA,NA,NA
Ge,NA,NA,NA,NA,NA,NA,NA,NA
Hf,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA
Ir,NA,NA,NA,NA,NA,NA,NA,NA
K,NA,NA,NA,NA,NA,NA,NA,0.000234
La,NA,NA,NA,NA,NA,NA,NA,NA
Mg,NA,NA,NA,NA,NA,NA,NA,0.001164
Nd,NA,NA,NA,NA,NA,NA,NA,NA
Pb,NA,NA,NA,NA,NA,NA,NA,0.00026
Pd,NA,NA,NA,NA,NA,NA,NA,0.0000554
Pt,NA,NA,NA,NA,NA,NA,NA,0.0000008
Rh,NA,NA,NA,NA,NA,NA,NA,0.0000085
Ru,NA,NA,NA,NA,NA,NA,NA,NA
Sc,NA,NA,NA,NA,NA,NA,NA,0.0000006
Se,NA,NA,NA,NA,NA,NA,NA,NA
Sr,NA,NA,NA,NA,NA,NA,NA,0.0000825
Ta,NA,NA,NA,NA,NA,NA,NA,NA
Te,NA,NA,NA,NA,NA,NA,NA,NA
Tl,NA,NA,NA,NA,NA,NA,NA,NA
W,NA,NA,NA,NA,NA,NA,NA,0.000122
Y,NA,NA,NA,NA,NA,NA,NA,0.0000041
Zn,NA,NA,NA,NA,NA,NA,NA,0.006743
Hg,NA,NA,NA,NA,NA,NA,NA,0.0000003
Others,NA,NA,0.02,0.01,0.0001,0.568092166,0.40399,0.4450037
