num,sym,element,TMR_coef
3,Li,リチウム,1500
4,Be,ベリリウム,2500
5,B,ホウ素,140
21,Sc,スカンジウム,2000
22,Ti,チタン,36
23,V,バナジウム,1500
24,Cr,クロム,26
25,Mn,マンガン,14
27,Co,コバルト,600
28,Ni,ニッケル,260
31,Ga,ガリウム,14000
32,Ge,ゲルマニウム,120000
34,Se,セレン,70
37,Rb,ルビジウム,130
38,Sr,ストロンチウム,500
39,Y,イットリウム,2700
40,Zr,ジルコニウム,550
41,Nb,ニオブ,640
42,Mo,モリブデン,750
46,Pd,パラジウム,810000
49,In,インジウム,4500
51,Sb,アンチモン,42
52,Te,テルル,270000
55,Cs,セシウム,NA
56,Ba,バリウム,NA
57,La,ランタン,3100
58,Ce,セリウム,2000
59,Pr,プラセオジム,8000
60,Nd,ネオジム,3000
61,Pm,プロメチウム,NA
62,Sm,サマリウム,9000
63,Eu,ユウロピウム,20000
64,Gd,ガドリニウム,10000
65,Tb,テルビウム,30000
66,Dy,ジスプロシウム,9000
67,Ho,ホルミウム,25000
68,Er,エルビウム,12000
69,Tm,ツリウム,40000
70,Yb,イッテルビウム,12000
71,Lu,ルテチウム,45000
72,Hf,ハフニウム,10000
73,Ta,タンタル,6800
74,W,タングステン,190
75,Re,レニウム,20000
78,Pt,白金,520000
81,Tl,タリウム,NA
83,Bi,ビスマス,180
12,Mg,マグネシウム,70
13,Al,アルミニウム,48
20,Ca,カルシウム,90
26,Fe,鉄,8
29,Cu,銅,360
30,Zn,亜鉛,36
33,As,ヒ素,29
47,Ag,銀,4800
48,Cd,カドミウム,7
50,Sn,スズ,2500
79,Au,金,1100000
80,Hg,水銀,2000
82,Pb,鉛,28
44,Ru,ルテニウム,80000
45,Rh,ロジウム,2300000
35,Br,臭素,NA
17,Cl,塩素,NA
14,Si,ケイ素,34
16,S,硫黄,NA
19,K,カリウム,NA
15,P,リン,NA
11,Na,ナトリウム,50
9,F,フッ素,NA
24,Cr6+,六価クロム,NA
0,Others,その他,NA
