num,sym,element,y_rcy
3,Li,リチウム,0
4,Be,ベリリウム,0
5,B,ホウ素,0
21,Sc,スカンジウム,0
22,Ti,チタン,0
23,V,バナジウム,0
24,Cr,クロム,0
25,Mn,マンガン,0
27,Co,コバルト,0.6
28,Ni,ニッケル,0.6
31,Ga,ガリウム,0
32,Ge,ゲルマニウム,0
34,Se,セレン,0
37,Rb,ルビジウム,0
38,Sr,ストロンチウム,0
39,Y,イットリウム,0
40,Zr,ジルコニウム,0
41,Nb,ニオブ,0
42,Mo,モリブデン,0
46,Pd,パラジウム,0.6
49,In,インジウム,0.6
51,Sb,アンチモン,0
52,Te,テルル,0
55,Cs,セシウム,0
56,Ba,バリウム,0
57,La,ランタン,0
58,Ce,セリウム,0
59,Pr,プラセオジム,0
60,Nd,ネオジム,0
61,Pm,プロメチウム,0
62,Sm,サマリウム,0
63,Eu,ユウロピウム,0
64,Gd,ガドリニウム,0
65,Tb,テルビウム,0
66,Dy,ジスプロシウム,0
67,Ho,ホルミウム,0
68,Er,エルビウム,0
69,Tm,ツリウム,0
70,Yb,イッテルビウム,0
71,Lu,ルテチウム,0
72,Hf,ハフニウム,0
73,Ta,タンタル,0.6
74,W,タングステン,0
75,Re,レニウム,0
78,Pt,白金,0.6
81,Tl,タリウム,0
83,Bi,ビスマス,0
12,Mg,マグネシウム,0
13,Al,アルミニウム,0.9
20,Ca,カルシウム,0
26,Fe,鉄,0.9
29,Cu,銅,0.93
30,Zn,亜鉛,0
33,As,ヒ素,0
47,Ag,銀,0.95
48,Cd,カドミウム,0
50,Sn,スズ,0
79,Au,金,0.97
80,Hg,水銀,0
82,Pb,鉛,0
44,Ru,ルテニウム,0
45,Rh,ロジウム,0
35,Br,臭素,0
17,Cl,塩素,0
14,Si,ケイ素,0
16,S,硫黄,0
19,K,カリウム,0
15,P,リン,0
11,Na,ナトリウム,0
9,F,フッ素,0
24,Cr6+,六価クロム,0
0,Others,その他,0
