strategy,epsilon,eta,theta,kappa,w,r_LE,r_rmn,r_rcy,r_drusA,r_rcy2
BaU,0.039363334,0,0,0,0,0,0,0.915123489,0.159019846,0.446876437
1,0,,,,,,,,,
2,0.01,,,,,,,,,
3,0.02,,,,,,,,,
4,0.03,,,,,,,,,
5,0.04,,,,,,,,,
6,0.05,,,,,,,,,
7,0.06,,,,,,,,,
8,0.07,,,,,,,,,
9,0.08,,,,,,,,,
10,0.09,,,,,,,,,
11,0.1,,,,,,,,,
12,0.11,,,,,,,,,
13,0.12,,,,,,,,,
14,0.13,,,,,,,,,
15,0.14,,,,,,,,,
16,0.15,,,,,,,,,
17,0.16,,,,,,,,,
18,0.17,,,,,,,,,
19,0.18,,,,,,,,,
20,0.19,,,,,,,,,
21,0.2,,,,,,,,,
22,0.21,,,,,,,,,
23,0.22,,,,,,,,,
24,0.23,,,,,,,,,
25,0.24,,,,,,,,,
26,0.25,,,,,,,,,
27,0.26,,,,,,,,,
28,0.27,,,,,,,,,
29,0.28,,,,,,,,,
30,0.29,,,,,,,,,
31,0.3,,,,,,,,,
32,0.31,,,,,,,,,
33,0.32,,,,,,,,,
34,0.33,,,,,,,,,
35,0.34,,,,,,,,,
36,0.35,,,,,,,,,
37,0.36,,,,,,,,,
38,0.37,,,,,,,,,
39,0.38,,,,,,,,,
40,0.39,,,,,,,,,
41,0.4,,,,,,,,,
42,0.41,,,,,,,,,
43,0.42,,,,,,,,,
44,0.43,,,,,,,,,
45,0.44,,,,,,,,,
46,0.45,,,,,,,,,
47,0.46,,,,,,,,,
48,0.47,,,,,,,,,
49,0.48,,,,,,,,,
50,0.49,,,,,,,,,
51,0.5,,,,,,,,,
52,0.51,,,,,,,,,
53,0.52,,,,,,,,,
54,0.53,,,,,,,,,
55,0.54,,,,,,,,,
56,0.55,,,,,,,,,
57,0.56,,,,,,,,,
58,0.57,,,,,,,,,
59,0.58,,,,,,,,,
60,0.59,,,,,,,,,
61,0.6,,,,,,,,,
62,0.61,,,,,,,,,
63,0.62,,,,,,,,,
64,0.63,,,,,,,,,
65,0.64,,,,,,,,,
66,0.65,,,,,,,,,
67,0.66,,,,,,,,,
68,0.67,,,,,,,,,
69,0.68,,,,,,,,,
70,0.69,,,,,,,,,
71,0.7,,,,,,,,,
72,0.71,,,,,,,,,
73,0.72,,,,,,,,,
74,0.73,,,,,,,,,
75,0.74,,,,,,,,,
76,0.75,,,,,,,,,
77,0.76,,,,,,,,,
78,0.77,,,,,,,,,
79,0.78,,,,,,,,,
80,0.79,,,,,,,,,
81,0.8,,,,,,,,,
82,0.81,,,,,,,,,
83,0.82,,,,,,,,,
84,0.83,,,,,,,,,
85,0.84,,,,,,,,,
86,0.85,,,,,,,,,
87,0.86,,,,,,,,,
88,0.87,,,,,,,,,
89,0.88,,,,,,,,,
90,0.89,,,,,,,,,
91,0.9,,,,,,,,,
92,0.91,,,,,,,,,
93,0.92,,,,,,,,,
94,0.93,,,,,,,,,
95,0.94,,,,,,,,,
96,0.95,,,,,,,,,
97,0.96,,,,,,,,,
98,0.97,,,,,,,,,
99,0.98,,,,,,,,,
100,0.99,,,,,,,,,
101,1,,,,,,,,,
102,,,,,0,,,,,
103,,,,,0.01,,,,,
104,,,,,0.02,,,,,
105,,,,,0.03,,,,,
106,,,,,0.04,,,,,
107,,,,,0.05,,,,,
108,,,,,0.06,,,,,
109,,,,,0.07,,,,,
110,,,,,0.08,,,,,
111,,,,,0.09,,,,,
112,,,,,0.1,,,,,
113,,,,,0.11,,,,,
114,,,,,0.12,,,,,
115,,,,,0.13,,,,,
116,,,,,0.14,,,,,
117,,,,,0.15,,,,,
118,,,,,0.16,,,,,
119,,,,,0.17,,,,,
120,,,,,0.18,,,,,
121,,,,,0.19,,,,,
122,,,,,0.2,,,,,
123,,,,,0.21,,,,,
124,,,,,0.22,,,,,
125,,,,,0.23,,,,,
126,,,,,0.24,,,,,
127,,,,,0.25,,,,,
128,,,,,0.26,,,,,
129,,,,,0.27,,,,,
130,,,,,0.28,,,,,
131,,,,,0.29,,,,,
132,,,,,0.3,,,,,
133,,,,,0.31,,,,,
134,,,,,0.32,,,,,
135,,,,,0.33,,,,,
136,,,,,0.34,,,,,
137,,,,,0.35,,,,,
138,,,,,0.36,,,,,
139,,,,,0.37,,,,,
140,,,,,0.38,,,,,
141,,,,,0.39,,,,,
142,,,,,0.4,,,,,
143,,,,,0.41,,,,,
144,,,,,0.42,,,,,
145,,,,,0.43,,,,,
146,,,,,0.44,,,,,
147,,,,,0.45,,,,,
148,,,,,0.46,,,,,
149,,,,,0.47,,,,,
150,,,,,0.48,,,,,
151,,,,,0.49,,,,,
152,,,,,0.5,,,,,
153,,,,,0.51,,,,,
