strategy,epsilon,eta,theta,kappa,w,r_LE,r_rmn,r_rcy,r_drusA,r_rcy2
BaU,0.039363334,0,0,0,0,0,0,0.915123489,0.159019846,0.446876437
Recycle2_Reman,,,,,,,0.8678539,,,0.4707413
Recycle2_Reuse2,0.216319,,,,,,,,,0.4707413
Recycle2_Rental,,,,,0.1122934,,,,,0.4707413
Recycle2_LE,,,,,,0.0406483,,,,0.4707413
Reman_Reuse2,0.216319,,,,,,0.8678539,,,
Reman_Rental,,,,,0.1122934,,0.8678539,,,
Reman_LE,,,,,,0.0406483,0.8678539,,,
Reuse2_Rental,0.216319,,,,0.1122934,,,,,
Reuse2_LE,0.216319,,,,,0.0406483,,,,
Rental_LE,,,,,0.1122934,0.0406483,,,,
Reuse1_LE,,,,,,0.0406483,,,0.178309,
Reuse1_Recycle2,,,,,,,,,0.178309,0.4707413
Reuse1_Reuse2,0.216319,,,,,,,,0.178309,
Reuse1_Reman,,,,,,,0.8678539,,0.178309,
Reuse1_Rental,,,,,0.1122934,,,,0.178309,
Recycle1_Reman,,,,,,,0.8678539,0.9946591,,
Recycle1_Reuse2,0.216319,,,,,,,0.9946591,,
Recycle1_Rental,,,,,0.1122934,,,0.9946591,,
Recycle1_LE,,,,,,0.0406483,,0.9946591,,
Reuse1_Recycle1,,,,,,,,0.9946591,0.178309,
Recycle1_Recycle2,,,,,,,,0.9946591,,0.4707413
