strategy,epsilon,eta,theta,kappa,w,r_LE,r_rmn,r_rcy,r_drusA,r_rcy2
BaU,0.039363334,0,0,0,0,0,0,0.915123489,0.159019846,0.446876437
Recycle2_Reman,,,,,,,0.5405779,,,0.46223469
Recycle2_Reuse2,0.691126,,,,,,,,,0.46223469
Recycle2_Rental,,,,,0.0317549,,,,,0.46223469
Recycle2_LE,,,,,,0.02414437,,,,0.46223469
Reman_Reuse2,0.691126,,,,,,0.5405779,,,
Reman_Rental,,,,,0.0317549,,0.5405779,,,
Reman_LE,,,,,,0.02414437,0.5405779,,,
Reuse2_Rental,0.691126,,,,0.0317549,,,,,
Reuse2_LE,0.691126,,,,,0.02414437,,,,
Rental_LE,,,,,0.0317549,0.02414437,,,,
Reuse1_LE,,,,,,0.02414437,,,0.1800323,
Reuse1_Recycle2,,,,,,,,,0.1800323,0.46223469
Reuse1_Reuse2,0.691126,,,,,,,,0.1800323,
Reuse1_Reman,,,,,,,0.5405779,,0.1800323,
Reuse1_Rental,,,,,0.0317549,,,,0.1800323,
Recycle1_Reman,,,,,,,0.5405779,0.9658997,,
Recycle1_Reuse2,0.691126,,,,,,,0.9658997,,
Recycle1_Rental,,,,,0.0317549,,,0.9658997,,
Recycle1_LE,,,,,,0.02414437,,0.9658997,,
Reuse1_Recycle1,,,,,,,,0.9658997,0.1800323,
Recycle1_Recycle2,,,,,,,,0.9658997,,0.46223469
