strategy,TMR_sum,FD_sum,GHG_sum
BaU,39141509078.83846,153916248.9081015,48361575942.92847
1,39166864498.526306,154405471.36788386,48481832813.06127
2,39160403146.575005,154280854.74619836,48451200908.03491
3,39153955425.613594,154156465.28276506,48420624376.12307
4,39147521386.550804,154032301.18738744,48390103605.37709
5,39141100665.08699,153908364.91457334,48359637687.74351
6,39134693390.138756,153784652.7585601,48329227189.79186
7,39128298669.191154,153661169.3334041,48298870898.552284
8,39121917801.71306,153537907.05704138,48268570440.05147
9,39115550614.49156,153414867.596856,48238324394.731705
10,39109196082.662476,153292053.2214279,48208132569.07159
11,39102854900.08446,153169460.2309288,48177995406.18881
12,39096526719.83685,153047089.99863663,48147912278.094986
13,39090212036.32106,152924941.11426887,48117883572.035225
14,39083909887.96004,152803013.39607543,48087908432.55835
15,39077621783.133255,152681302.0608804,48057988027.56424
16,39071345720.66792,152559815.64751756,48028120409.87455
17,39065083410.57849,152438544.24720255,47998306769.29241
18,39058832929.64593,152317494.48336256,47968546223.04033
19,39052595517.03336,152196663.33719155,47938838640.06802
20,39046371211.37784,152076047.550528,47909184777.04122
21,39040159849.809105,151955648.41268063,47879583824.166275
22,39033960943.88697,151835465.86517984,47850035494.53518
23,39027775267.33419,151715497.2953419,47820540223.44472
24,39021602003.1941,151595745.39558247,47791097535.42449
25,39015441228.78672,151476208.541778,47761707143.66655
26,39009293406.742584,151356883.32209712,47732369222.24584
27,39003158059.98325,151237773.66972417,47703083436.15822
28,38997035239.067604,151118875.93102142,47673849412.215485
29,38990924666.57381,151000191.69683284,47644667228.3058
30,38984826454.52133,150881720.4623122,47615537145.11747
31,38978741303.46148,150763456.7438041,47586458722.57355
32,38972668398.22286,150645403.29362944,47557432152.00762
33,38966607666.22601,150527563.03584468,47528456521.00064
34,38960559051.41569,150409932.60753548,47499532023.19916
35,38954522561.09288,150292511.0688312,47470658546.1064
36,38948498608.52741,150175297.05658796,47441836217.122925
37,38942487383.95466,150058289.01041391,47413064927.60654
38,38936487870.8327,149941489.45752952,47384344585.02883
39,38930500420.68984,149824899.2761456,47355674398.92659
40,38924525153.62581,149708512.84393573,47327054903.452736
41,38918561949.48644,149592334.9366466,47298485409.01076
42,38912611041.69141,149476358.3084107,47269966554.87787
43,38906671842.95808,149360588.51966774,47241497462.72871
44,38900744460.9985,149245023.66182104,47213078118.60312
45,38894829245.14167,149129662.21591237,47184708824.41183
46,38888925709.88035,149014503.41977608,47156389537.665024
47,38883034761.89219,148899546.93899584,47128119885.74095
48,38877154796.01584,148784792.3043033,47099899110.52748
49,38871286856.34831,148670241.60296556,47071727601.29917
50,38865431043.24623,148555889.670077,47043605867.75244
51,38859586863.2191,148441736.89752212,47015533206.68888
52,38853753831.19147,148327787.96332455,46987508779.767
53,38847932837.82951,148214037.33355162,46959533270.45826
54,38842123725.3379,148100483.9533707,46931607162.327995
55,38836325594.75887,147987132.35506007,46903728946.948006
56,38830539011.10881,147873977.30169502,46875898907.0282
57,38824764483.773766,147761019.2165086,46848117953.38101
58,38819001575.478546,147648256.11334664,46820385321.44706
59,38813249305.63372,147535693.83396915,46792700065.2741
60,38807509153.37755,147423324.65653932,46765062709.65131
61,38801780268.89891,147311151.24399975,46737473876.94631
62,38796062821.22438,147199173.11183703,46709932468.73478
63,38790356361.14283,147087389.90725547,46682438396.98595
64,38784661389.67543,146975801.28910926,46654991780.18938
65,38778977650.10823,146864405.80475187,46627592607.42883
66,38773304883.63308,146753202.57003623,46600240618.39543
67,38767644393.40877,146642190.5213202,46572936380.22337
68,38761993890.24577,146531372.65286884,46545678438.28693
69,38756354888.377304,146420746.75651833,46518467398.27475
70,38750727066.182846,146310309.8489441,46491303041.62036
71,38745110006.25841,146200065.87627774,46464185396.9812
72,38739504155.8788,146090011.67938733,46437114626.71789
73,38733909297.80525,145980146.2613115,46410089658.15831
74,38728325921.58027,145870467.55697808,46383111645.89491
75,38722752917.11311,145760981.5751647,46356179265.09641
76,38717191000.72617,145651681.3302414,46329293250.39435
77,38711640137.32185,145542568.2709156,46302452980.60325
78,38706099582.67475,145433644.73291138,46275658409.21318
79,38700570047.12977,145324907.51639098,46248909477.346855
80,38695051487.961685,145216356.26703253,46222206477.85397
81,38689543394.86895,145107991.9165745,46195548554.6933
82,38684046109.41946,144999810.2919358,46168936114.11957
83,38678560030.90032,144891813.86576492,46142369417.19375
84,38673084097.242165,144784004.32129258,46115847174.44696
85,38667619062.34332,144676376.66069064,46089370291.5712
86,38662164523.80515,144568932.57322106,46062938207.66129
87,38656720382.52555,144461671.79580265,46036550854.53121
88,38651287296.86438,144354592.59436253,46010208599.32028
89,38645864327.14099,144247696.71702257,45983910487.20286
90,38640451549.5873,144140984.24850103,45957656501.99541
91,38635049720.08942,144034448.7718296,45931447538.76856
92,38629658041.582756,143928097.3296493,45905282278.2544
93,38624276958.79538,143821925.02929378,45879161696.21425
94,38618906033.51067,143715933.56785318,45853084150.954834
95,38613545567.364845,143610120.07267824,45827051672.65824
96,38608195431.26198,143504486.44121173,45801062088.030174
97,38602855634.97217,143399029.50733307,45775116998.49783
98,38597525927.25924,143293752.21379045,45749214649.22699
99,38592206420.39763,143188652.53801465,45723356310.19832
100,38586897255.92989,143083730.80730402,45697541054.141846
101,38581598338.503265,142978983.94078615,45671769402.87231
102,39141509094.55434,153916248.8661351,48361575943.366875
103,39018218358.66685,153903598.0888935,48364567783.21527
104,38894961122.99875,153890942.79587138,48367551926.67053
105,38771720080.77118,153878321.2196059,48370514120.20383
106,38648497665.10077,153865723.15727085,48373456042.02429
107,38525294201.633896,153853152.24411002,48376377812.0644
108,38402108959.34094,153840608.82326245,48379278278.11544
109,38278944441.185165,153828087.80607587,48382159409.504944
110,38155798872.923546,153815596.65754536,48385019187.04325
111,38032673854.04458,153803127.96300972,48387859856.387535
112,37909568546.69939,153790688.9065826,48390679405.14343
