strategy,TMR_sum,FD_sum,GHG_sum
BaU,-46153748.45191498,10297950.614130808,2208872273.1982546
1,-45089239.10379423,10319190.206049312,2214101074.61974
2,-45360887.73183551,10313783.40828734,2212768975.216031
3,-45630769.75743046,10308379.090497304,2211440234.6686234
4,-45901276.08639915,10302989.39842077,2210112895.5608206
5,-46170586.31621356,10297607.482320378,2208788125.6074133
6,-46439388.92499098,10292235.337838179,2207465593.933199
7,-46707165.35477302,10286870.433679905,2206145955.972808
8,-46974806.41286892,10281516.754911738,2204827773.9883866
9,-47241797.97418122,10276171.448475108,2203511963.3266954
10,-47507995.720826454,10270834.447078206,2202198491.4881387
11,-47774174.24977239,10265510.572340827,2200886724.2658257
12,-48039463.68369287,10260191.736507516,2199577593.1705556
13,-48303749.140155286,10254884.7351018,2198270882.335399
14,-48567771.17564963,10249583.744709726,2196966314.8262563
15,-48830923.50583279,10244291.966257447,2195664192.7666073
16,-49093831.67034962,10239012.236395786,2194363653.1539035
17,-49355938.793919615,10233739.337957818,2193065530.647949
18,-49617296.8288452,10228474.866732344,2191769882.9896584
19,-49878785.123891346,10223222.41307416,2190476067.337974
20,-50138877.410459295,10217975.126261538,2189184737.6699424
21,-50398528.97204555,10212738.971445268,2187895647.5798125
22,-50658423.09666832,10207511.786391744,2186608097.372167
23,-50916833.87275701,10202293.097632393,2185323147.015645
24,-51175331.70207743,10197085.090863053,2184040078.38064
25,-51432664.65298152,10191883.337926148,2182759405.5065727
26,-51689801.38891174,10186691.708900284,2181481077.486771
27,-51945803.046779536,10181508.685801176,2180204387.59525
28,-52201583.458496876,10176332.265997253,2178930674.775247
29,-52456744.52072856,10171166.140290923,2177658454.733542
30,-52711696.69568358,10166009.818589937,2176388486.6847825
31,-52965253.41867514,10160860.802969078,2175120793.0560846
32,-53218874.99623401,10155720.978154281,2173855046.6232324
33,-53472625.936044194,10150591.641945628,2172590956.5668063
34,-53724990.35529162,10145469.407643482,2171329234.4853935
35,-53976484.965191774,10140355.657602549,2170070488.0421214
36,-54227533.0965561,10135249.54043622,2168813174.766717
37,-54478447.872437336,10130154.17411095,2167557902.3982167
38,-54729118.49855608,10125067.634144299,2166304429.6834626
39,-54978154.269957446,10119984.784801127,2165054026.3439937
40,-55227963.921317816,10114917.415050963,2163804283.6011314
41,-55476458.80324998,10109854.26297561,2162557487.360162
42,-55724798.18810868,10104802.735711537,2161312417.1699367
43,-55971737.223879345,10099756.021698227,2160070222.1965475
44,-56218613.91275699,10094718.302660182,2158829563.02381
45,-56465005.91071303,10089691.141303215,2157590840.592642
46,-56710381.221610576,10084669.58576574,2156354466.3507285
47,-56955915.397847414,10079659.112472981,2155119862.9223003
48,-57200568.40728505,10074655.381697342,2153887640.4508147
49,-57445190.19987091,10069663.570254661,2152656776.6394615
50,-57688218.16237593,10064673.617997183,2151428634.758668
51,-57931618.59069132,10059697.248670178,2150202162.052981
52,-58174356.691768005,10054728.042034388,2148977671.302123
53,-58416029.8415255,10049764.094459223,2147755521.919394
54,-58657508.249355346,10044811.51651199,2146535236.9685845
55,-58899207.61388288,10039869.320445994,2145316718.580381
56,-59139396.271718025,10034931.713734215,2144100315.9694595
57,-59379450.01436328,10030002.813619921,2142886140.063368
58,-59618348.371081844,10025080.936611049,2141674155.6818032
59,-59857719.63122615,10020169.868510967,2140463398.1735923
60,-60096430.506558,10015266.89815207,2139254995.9530888
61,-60334170.59884593,10010371.666928992,2138048547.1574154
62,-60570839.050589494,10005481.522392455,2136844514.864811
63,-60808325.31358583,10000604.07666417,2135641797.4248238
64,-61044232.20342532,9995731.30077404,2134441636.554398
65,-61280157.947876945,9990868.256260471,2133243019.978665
66,-61515623.68737799,9986013.15931746,2132046314.2345357
67,-61750082.31694029,9981164.950517563,2130852173.0738328
68,-61984080.66212525,9976324.405727949,2129659653.1121871
69,-62218322.94977684,9971495.54851945,2128468559.1135356
70,-62452010.10664994,9966672.350934844,2127279527.8195815
71,-62684650.03461665,9961857.762169015,2126092616.4531927
72,-62916390.5659659,9957047.796370896,2124908196.7322154
73,-63148023.63963068,9952247.638454922,2123725467.7484963
74,-63379371.27793195,9947456.6700041,2122544323.6486022
75,-63610817.39455745,9942675.440379772,2121364561.6701353
76,-63840501.944270276,9937897.210279047,2120187890.257242
77,-64070590.759703584,9933129.26886369,2119012204.5976176
78,-64299271.936137766,9928368.556466801,2117839203.602096
79,-64527795.325658254,9923613.839359814,2116667994.8581452
80,-64755886.01299727,9918869.122216169,2115498289.4969788
81,-64984679.99760516,9914134.941326005,2114330109.953198
82,-65211973.75732201,9909406.118302118,2113164105.1185884
83,-65438202.395997874,9904683.11631619,2112000509.0638204
84,-65665078.90268176,9899970.909497378,2110838116.7786825
85,-65890635.35232387,9895263.620150192,2109678291.4478827
86,-66115868.260038845,9890564.163921135,2108519943.1790786
87,-66340644.79649683,9885874.920856155,2107363619.0049942
88,-66564718.41375282,9881189.333217416,2106209124.3053594
89,-66789051.01186252,9876514.041904943,2105056172.233903
90,-67012031.56668379,9871846.007131863,2103905514.8295288
91,-67235268.20975897,9867186.499383103,2102756386.8995805
92,-67457247.93522182,9862531.32846277,2101609715.9275918
93,-67678972.33041412,9857886.4820562,2100464382.8027296
94,-67900962.97597006,9853250.101721931,2099320779.1052308
95,-68121876.08902475,9848617.693163296,2098178995.216639
96,-68342708.38695805,9843997.029707577,2097038873.632838
97,-68562793.84165378,9839382.026909938,2095900910.1885943
98,-68782696.89788401,9834774.441565976,2094764426.7378933
99,-69001576.0925111,9830172.581329633,2093630233.1977305
100,-69220458.13963287,9825580.402834902,2092497412.5060222
101,-69438805.44320455,9820996.046520554,2091366711.9392388
102,-46153747.74019946,10297950.6123079,2208872273.2181087
103,-48523110.956397645,10297950.771247191,2209140874.7518024
104,-50883215.02338516,10297926.392188216,2209418290.613484
105,-53245832.992674135,10297901.89103022,2209694043.0032263
106,-55610293.15396381,10297880.396691812,2209968358.152386
107,-57976122.385105714,10297857.096373582,2210242863.38104
108,-60344829.21960896,10297837.307988333,2210514827.3068423
109,-62715538.66995405,10297816.359790798,2210786596.887315
110,-65087052.309563,10297795.102930775,2211057440.7577567
111,-67461364.94283697,10297775.949994456,2211326569.0830593
112,-69837343.58441314,10297757.718046175,2211594987.6863155
113,-72215538.6579619,10297740.001082841,2211861725.3212833
114,-74595160.18027726,10297722.925955735,2212127229.9363656
115,-76976209.90237606,10297705.669585546,2212393047.2818794
116,-79360086.78189889,10297691.297901282,2212656099.2428875
117,-81744460.22009106,10297671.845565578,2212919106.094056
118,-84131731.78508148,10297658.28289923,2213180244.7357163
119,-86519923.52121288,10297642.900913183,2213441125.4694605
120,-88910618.99117382,10297630.729649018,2213700098.535156
121,-91302265.46619736,10297617.070166996,2213958573.322841
122,-93695967.6977137,10297604.244201083,2214215543.320562
123,-96091364.93739907,10297595.228717647,2214471252.793609
124,-98488123.61647245,10297584.168156883,2214726178.0127087
125,-100887121.30135058,10297573.936049208,2214979786.315816
126,-103286614.44139881,10297562.684869785,2215232859.5316443
127,-105688208.21879116,10297552.427950306,2215484934.3420644
128,-108092140.16953039,10297546.764899632,2215734402.5852165
129,-110495954.21221277,10297536.88700864,2215984981.1833763
130,-112902084.81135626,10297529.238589961,2216233245.2395635
131,-115308877.95317107,10297520.530565174,2216481425.9881845
132,-117718246.64869551,10297515.014068546,2216727675.484367
133,-120128369.29297726,10297509.175293447,2216973176.8956337
134,-122539806.60392898,10297501.000857625,2217217219.674618
135,-124953196.67497939,10297498.162185304,2217460550.216262
136,-127367310.37225166,10297493.227223035,2217702806.3584986
137,-129783437.97688113,10297490.10383423,2217944031.7054563
138,-132200704.73558122,10297488.074362196,2218183996.9893565
139,-134618916.53810325,10297484.734205592,2218423176.366542
140,-137038113.70617947,10297482.187030768,2218661878.379285
141,-139459763.3365786,10297482.638913376,2218898142.8561854
