strategy,TMR_sum,FD_sum,GHG_sum
BaU,-46153748.45191498,10297950.614130808,2208872273.1982546
Recycle2_Reman,-103369581.05916081,9956445.909016056,2185084123.595118
Recycle2_Reuse2,-79313974.52110866,10180617.436870867,2185001011.6198645
Recycle2_Rental,-100292150.37225562,10274934.522737404,2211155113.87075
Recycle2_LE,-88413191.36956172,10209804.125828147,2194119130.7540317
Reman_Reuse2,-77223894.45291328,9914206.638481744,2164827327.8715396
Reman_Rental,-104507273.81134148,9949024.008633332,2186710138.3258977
Reman_LE,-89108678.91462632,9918265.102515657,2172145818.460418
Reuse2_Rental,-77171610.24227485,10191955.775665402,2185894841.089664
Reuse2_LE,-65150502.554429464,10139904.808088303,2172003517.289085
Rental_LE,-86505657.46618786,10232630.183030931,2197865514.8872514
Reuse1_LE,-75998062.79481599,10172506.527593572,2182318745.421752
Reuse1_Recycle2,-89781563.37375289,10213864.140451025,2195410621.569989
Reuse1_Reuse2,-66215438.00370758,10144917.395612368,2173481437.0367966
Reuse1_Reman,-90866288.76249138,9918009.640701585,2173125160.31098
Reuse1_Rental,-87500357.92454441,10238673.995176248,2199605736.0474515
Recycle1_Reman,-87451984.62657435,9969628.662946122,2185528160.719864
Recycle1_Reuse2,-76582159.83076984,10182879.891569842,2185077218.2975235
Recycle1_Rental,-103735637.90870444,10272082.669504005,2211059054.373873
Recycle1_LE,-88412326.9615824,10209804.841720002,2194119154.867549
Reuse1_Recycle1,-90160380.22366424,10213550.409082219,2195400054.098603
Recycle1_Recycle2,-102665675.38915269,10251148.141880611,2207295817.0004053
